"","days.post.imm","MZB_cell_numbers","CAR_MZB_numbers","fraction_CAR"
"1",0,1390228.56,27804.5712,0.02
"2",0,630121.8,10207.97316,0.0162
"3",0,926129.6,15466.36432,0.0167
"4",0,881479.2,13222.188,0.015
"5",0,1207879.4,3623.6382,0.003
"6",0,2498300,49466.34,0.0198
"7",0,1268082.9,25361.658,0.02
"8",0,2643354,5286.708,0.002
"9",0,1537081,14448.5614,0.0094
"10",4,1139962.8,30778.9956,0.027
"11",4,1911124.08,45484.753104,0.0238
"12",4,2492920.8,78527.0052,0.0315
"13",4,1329039.36,28840.154112,0.0217
"14",4,2156439.18,50460.676812,0.0234
"15",7,2790863.4,114704.48574,0.0411
"16",7,3905286,141761.8818,0.0363
"17",7,2954215,108124.269,0.0366
"18",7,2745252,73298.2284,0.0267
"19",7,1922760,59797.836,0.0311
"20",7,2375760,92892.216,0.0391
"21",7,2467542,92532.825,0.0375
"22",7,2282280,65729.664,0.0288
"23",7,1134870,81937.614,0.0722
"24",7,1234290.46,106148.97956,0.086
"25",7,1212120,36727.236,0.0303
"26",7,2402866.4,64877.3928,0.027
"27",7,1021248,57087.7632,0.0559
"28",7,656080,20863.344,0.0318
"29",7,1708316.8,72603.464,0.0425
"30",7,1222996.32,66408.700176,0.0543
"31",9,1738956,84861.0528,0.0488
"32",9,1751700.4,66214.27512,0.0378
"33",9,1968163.35,57076.73715,0.029
"34",14,1670578,69161.9292,0.0414
"35",14,2021395.2,68727.4368,0.034
"36",14,2600491,85036.0557,0.0327
"37",14,2329352.5,80828.53175,0.0347
"38",14,2373096,126960.636,0.0535
"39",14,2463684.3,138459.05766,0.0562
"40",14,1667880,65047.32,0.039
"41",14,1810705.36,37300.530416,0.0206
"42",14,5075028,238018.8132,0.0469
"43",14,1051481.6,44793.11616,0.0426
"44",14,1009478.4,54208.99008,0.0537
"45",14,1081154.88,61517.712672,0.0569
"46",14,2208883.38,122813.915928,0.0556
"47",14,2921968.08,75971.17008,0.026
"48",14,2582016,71263.6416,0.0276
"49",14,2440473.6,88589.19168,0.0363
"50",14,2087924.4,112330.33272,0.0538
"51",30,1825896.6,76322.47788,0.0418
"52",30,2306102.4,87170.67072,0.0378
"53",30,2498000.4,69944.0112,0.028
"54",30,1873244.6,54698.74232,0.0292
"55",30,2262960,65625.84,0.029
"56",30,1438059,58385.1954,0.0406
"57",30,643573.7,30827.18023,0.0479
"58",30,748926.08,35124.633152,0.0469
