"","mean","sd","2.5%","97.5%"
"alpha1",0.00844426233,0.00271993503590978,0.0039687345,0.0147165475
"alpha2",0.10503413325,0.0238762229351886,0.067717385,0.159855625
"delta",0.564654566,0.135617288960376,0.340749275,0.877704874999999
"lambda",0.09399485898,0.0317466188561857,0.03872265,0.1624034
"mu",1.2687557575,0.266212982421676,0.804263175,1.8281665
"nu",0.00403107113,0.000379374009223431,0.003410949,0.00491542325
"sigma1",0.4589570635,0.0436648541823839,0.384023675,0.553898625
"sigma2",0.565402898,0.0517530085237972,0.47637275,0.67803715
"sigma3",0.490855555,0.0472063128730524,0.408127425,0.593095175
